"x","y1","y2"
1009,147.096644658042,148.025469455717
1010,147.01834824679,147.917948176388
1011,146.941244559609,147.811800736607
1012,146.865423053945,147.707128312857
1013,146.790971772692,147.60403066514
1014,146.717977092581,147.502605807671
1015,146.646523858571,147.402950304723
1016,146.576695094659,147.305158058212
1017,146.508572405148,147.209321077582
1018,146.442236759402,147.115530222838
1019,146.377766863407,147.023874172488
1020,146.315239919606,146.934440957167
1021,146.254731507643,146.847317228863
1022,146.19631553972,146.762588713059
1023,146.140064789579,146.68034002618
1024,146.08605087179,146.600654920576
1025,146.034343937605,146.523616301707
1026,145.985011573033,146.449304533819
1027,145.938118233419,146.37779606297
1028,145.893725072271,146.30916385397
1029,145.851891740423,146.243479460614
1030,145.812674710415,146.180811119484
1031,145.776127780254,146.12122579303
1032,145.742304126676,146.064790430933
1033,145.711254003862,146.011568886282
1034,145.683025665994,145.961623540588
1035,145.657664745109,145.915013163343
1036,145.635213340417,145.871791905222
1037,145.615709952953,145.832009337121
1038,145.599188755823,145.795710856223
1039,145.585680309293,145.762938619601
1040,145.575212175584,145.733732033631
1041,145.567809316736,145.708127688434
1042,145.563494482324,145.68615897864
1043,145.562288010558,145.667855543096
1044,145.564206737393,145.653242329874
1045,145.569263398712,145.642340391656
1046,145.577467359765,145.63516824635
1047,145.588825028582,145.631741138498
1048,145.603339368078,145.632069565299
1049,145.621011160108,145.636160207788
1050,145.64183956148,145.644016132322
1051,145.665822514084,145.655637391006
1052,145.692955854409,145.67102120183
1053,145.723232984818,145.690162599826
1054,145.756645204225,145.713053947161
1055,145.793181262237,145.739684324691
1056,145.832826441453,145.770038290322
1057,145.875563173964,145.804095557603
1058,145.921371143664,145.841831300377
1059,145.970227870512,145.883217099376
1060,146.022108301036,145.928221154497
1061,146.076984965719,145.976808748883
1062,146.134828832948,146.028943635684
1063,146.195608411993,146.084586866171
1064,146.259289951915,146.143696867702
1065,146.325837111858,146.206229384106
1066,146.39521036205,146.272136316993
1067,146.467365808506,146.341364803536
1068,146.542255562975,146.413857441089
1069,146.619829134456,146.489553266489
1070,146.700032056669,146.56838659651
1071,146.782805226338,146.650286438849
1072,146.868084423383,146.735176275631
1073,146.955803519066,146.822977871846
1074,147.045895549519,146.913612010651
1075,147.138291014327,147.006995323612
1076,147.232917808178,147.10304131872
1077,147.329700949408,147.201659360307
1078,147.428564281815,147.302756100087
1079,147.529430449903,147.406236307785
1080,147.632219917724,147.512002334445
1081,147.736850443885,147.619954291239
1082,147.843237820285,147.729989202651
1083,147.951295176351,147.842001077969
1084,148.060933119847,147.955881560191
1085,148.172060990052,148.071519973154
1086,148.284587529995,148.188804185516
1087,148.398420331229,148.307621478104
1088,148.51346645353,148.427859889842
1089,148.62963238443,148.549407686119
1090,148.746823802239,148.672152613926
1091,148.864946772186,148.795984795546
1092,148.983909162843,148.920798324891
1093,149.103618584774,149.046485987287
1094,149.22398260551,149.17293888882
1095,149.344908328552,149.300047055636
1096,149.466302229831,149.427700087916
1097,149.588070655727,149.555788317646
1098,149.710119331479,149.684202219689
1099,149.832352833073,149.812831901024
1100,149.954675875295,149.941567860119
1101,150.076991956555,150.070299426357
1102,150.199204268831,150.198916061061
1103,150.321216551084,150.327308210912
1104,150.442931885494,150.455365821341
1105,150.564252274827,150.582977745393
1106,150.685080062772,150.710033761561
1107,150.805317357023,150.83642286346
1108,150.92486722328,150.962034642633
1109,151.0436329479,151.086758956939
1110,151.161517698956,151.210486508286
1111,151.27842536363,151.333109697537
1112,151.394261218595,151.454522864493
1113,151.508931260907,151.574620578042
1114,151.622342074053,151.6932983546
1115,151.734400974807,151.81045307472
1116,151.845015854866,151.92598337422
1117,151.954093662318,152.039787570453
1118,152.061542101208,152.151764731095
1119,152.167269190674,152.261814083393
1120,152.271184321585,152.369837194342
1121,152.373198448538,152.475737169361
1122,152.473223043545,152.579417402723
1123,152.571169869981,152.680781913137
1124,152.666951262309,152.779735747305
1125,152.760480591816,152.876185766931
1126,152.851673737613,152.970042087346
1127,152.940450352643,153.061219343589
1128,153.026731987163,153.149634971936
1129,153.110441375531,153.235209337079
1130,153.191503420158,153.31786524903
1131,153.269844637962,153.397527135978
1132,153.345394425296,153.474122080646
