lonnew,latnew
123.8436,41.3283
123.8489,42.2864
123.9305,47.3636
123.9483,47.3227
124.1303,50.4217
124.3711,43.1594
124.3933,40.1461
124.8354,46.0347
124.8648,46.6219
124.8847,46.3991
125.1358,42.8947
125.25,43.8167
125.287,43.91
125.323,43.9167
125.325,43.8694
125.417,43.8667
125.454,43.7878
125.633,43.55
125.9361,41.7156
125.9486,41.7381
126.4047,41.9206
126.4078,41.9419
126.4978,43.8228
126.542,45.755
126.561,45.8167
126.5786,43.8947
126.5844,43.8358
126.6106,45.9819
126.615,45.61
126.635,45.7667
126.689,45.7733
126.9636,46.6527
126.979,45.5422
126.9934,46.6384
127.4961,50.2486
127.5044,50.2391
128.8736,47.7222
129.3675,42.8775
129.4892,42.8939
129.5042,42.9061
129.6115,44.5782
129.6386,44.5462
129.6459,44.6104
130.1097,47.3382
130.261,47.2753
130.2659,47.3349
130.2719,46.8025
130.3172,47.3489
130.3648,46.8032
130.3794,46.7588
130.3961,46.8267
130.9298,45.2978
130.9467,45.8309
130.962,45.2924
131.1516,46.6462
131.1638,46.6572
